filename,catalog_md5,catalog_size_bytes
20140220.gkg.csv.zip,d41437542e2dd7c2c8d72d0748d27233,19482874
20140221.gkg.csv.zip,d619d7c5e2ba1e16768343c040839dbf,17736562
20140222.gkg.csv.zip,55b157384252eedc56550b5b3f68f5ff,10638310
20140223.gkg.csv.zip,e67e5070c123354035b53d9034fca297,10776023
20140224.gkg.csv.zip,dac6ad2285c8f7738052b1d67cd4bec5,18767430
20140225.gkg.csv.zip,e8904f531d9f0682342a73e891e7a8a8,19678908
20140226.gkg.csv.zip,07c052af23dce2dad5d05ee6d93d9a2d,19702166
20140227.gkg.csv.zip,55f90020265ffbef83e9ec5f701498f2,19035067
20140228.gkg.csv.zip,953c7e7d2bcffc3a9d8aaf6a47d7e310,18340803
20140301.gkg.csv.zip,20e759bba09023624587e9e5ba9aaf2a,11186645
20140302.gkg.csv.zip,8a46f768161d768ce82986180e127fcc,10569402
20140303.gkg.csv.zip,9c41480f5f77299d0050b1074144464b,16695794
20140304.gkg.csv.zip,8a557b72fc5aba4a42da7d18c8cc2a93,17347793
20140305.gkg.csv.zip,389f9d42f81a74a1a470d647f2259176,17675788
20140306.gkg.csv.zip,18f47b082401505c37f64bda2e20d1a4,17724249
20140307.gkg.csv.zip,b296f15b560c38e2e74ebbb4514c6c1f,15773688
20140308.gkg.csv.zip,62347fda0d4063df9aa267fba9f35bbc,10398465
20140309.gkg.csv.zip,74de838884379ebdbcfd0112c93978a0,9900072
20140310.gkg.csv.zip,e2a5cbd0db5e0655464369038e8be4f8,17349667
20140311.gkg.csv.zip,94f682080944401478d0821e15cec688,17844751
20140312.gkg.csv.zip,b4a9f7a3e2f1751ab4148ee93f282ec6,16274410
20140313.gkg.csv.zip,972bbeb54986f3ee275d896b736aca93,17577997
20140314.gkg.csv.zip,4640bb9545df352e155b0798ca6ce6ee,15951829
20140315.gkg.csv.zip,bb23e81cf13e4111038d7fc689f15df7,10154552
