security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
CTLT,CTLT,Catalent,CATALENT,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
CTRA,CTRA,Coterra Energy,COTERRA ENERGY,MEDIUM,UNRESOLVED,,21,20,1,2,CABOT OIL AND GAS|COTERRA ENERGY,Cabot Oil & Gas Corp|Coterra Energy Inc,2020-12-31,2025-12-31,1,0,0,0,0,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
CTXS,CTXS,Citrix Systems,CITRIX SYSTEMS,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
CXO,CXO,Concho Resources,CONCHO RESOURCES,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
CZR,CZR,Caesars Entertainment,CAESARS ENTERTAINMENT,MEDIUM,REVIEW_TICKER_ONLY,0001590895,0,0,0,0,,,,,0,0,0,2,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DAY,DAY,Ceridian HCM Holding,CERIDIAN HCM,MEDIUM,UNRESOLVED,,18,18,0,2,CERIDIAN HCM|DAYFORCE,Ceridian HCM Holding Inc|Dayforce Inc,2021-09-30,2025-12-31,1,1,1,0,0,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
DFS,DFS,Discover Financial Services,DISCOVER FINANCIAL SERVICES,LOW,AUTO_UNIQUE_EXACT_NAME,0001393612,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DISCA,DISCA,Discovery Inc Class A,DISCOVERY,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DISCK,DISCK,Discovery Inc Class C,DISCOVERY,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DISH,DISH,DISH Network,DISH NETWORK,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DRE,DRE,Duke Realty,DUKE REALTY,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
DXC,DXC,DXC Technologies,DXC TECHNOLOGIES,MEDIUM,REVIEW_TICKER_ONLY,0001688568,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
EG,EG,EVEREST GROUP LTD,EVEREST GROUP,MEDIUM,AUTO_SOURCE_AGREEMENT,0001095073,21,20,1,2,EVEREST GROUP|EVEREST RE GROUP,Everest Group Ltd|Everest Re Group Ltd,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
ELV,ELV,ELEVANCE HEALTH INC,ELEVANCE HEALTH,MEDIUM,AUTO_SOURCE_AGREEMENT,0001156039,21,20,1,2,ANTHEM|ELEVANCE HEALTH,Anthem Inc|Elevance Health Inc,2020-12-31,2025-12-31,1,0,0,4,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
EMN,EMN,Eastman Chemical Co,EASTMAN CHEMICAL,MEDIUM,AUTO_SOURCE_AGREEMENT,0000915389,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
ENPH,ENPH,Enphase Energy,ENPHASE ENERGY,MEDIUM,REVIEW_TICKER_ONLY,0001463101,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
