security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
EXC,EXC,Utilities,14,0.003387940339552178,0.007533353645635549,0.00024199573853944128,0.0011805486012739226,-0.0006891651774224168,0.0023993275194785506,0.003387940339552178,0.641874158477619
LRCX,LRCX,Information Technology,21,0.003487179303820598,0.007504251820529317,0.00016605615732479039,0.001084112370404588,-0.0004334232792479612,0.002390058764402266,0.003487179303820598,0.6442642172420212
NCLH,NCLH,Consumer Discretionary,9,-0.00443424248308546,0.00739302450633273,-0.0004926936092317178,0.0005514278257465079,-0.0018855083448709694,0.002354633538344523,0.00443424248308546,0.6466188507803657
FOX,FOX,Communication Services,7,0.0009184319175720575,0.007284870497932552,0.00013120455965315108,0.002231072291698184,-0.002436471909676814,0.0023201871415731725,0.0009184319175720575,0.648939037921939
GNRC,GNRC,Industrials,12,-0.0005039714339183514,0.007281040918201816,-4.199761949319595e-05,0.001836009692010598,-0.0013894419096767705,0.002318967443618157,0.0005039714339183514,0.6512580053655571
BKR,BKR,Energy,10,-0.006461952790829435,0.0072617689445867075,-0.0006461952790829435,0.00027896505852781367,-0.0031611109129411454,0.002312829436719173,0.006461952790829435,0.6535708348022763
NWS,NWS,Communication Services,10,-0.0006619396758362603,0.007171638055906939,-6.619396758362602e-05,0.0015597739589389968,-0.0015124949085764728,0.00228412329444352,0.0006619396758362603,0.6558549580967198
GS,GS,Financials,25,0.0018045468588001568,0.007067728975982721,7.218187435200628e-05,0.000647538690807703,-0.0005963392941853625,0.0022510288816874812,0.0018045468588001568,0.6581059869784073
SNPS,SNPS,Information Technology,18,-1.7580170108474024e-05,0.00691404072929073,-9.766761171374457e-07,0.0010812146306176608,-0.0010702203247206844,0.002202080105743299,1.7580170108474024e-05,0.6603080670841506
EG,EG,Financials,17,0.0024186349767164857,0.006887354403583039,0.00014227264568920505,0.0010440102218679259,-0.0012612782801423158,0.002193580672598895,0.0024186349767164857,0.6625016477567495
VMC,VMC,Materials,9,-0.0030985933606490624,0.006858129690445674,-0.0003442881511832292,0.0013460677637808143,-0.001464454479430532,0.002184272778428817,0.0030985933606490624,0.6646859205351783
LVS,LVS,Consumer Discretionary,11,0.001274854028616081,0.00681886867905022,0.00011589582078328009,0.0012699572474002669,-0.0009334243375867049,0.0021717683840362548,0.001274854028616081,0.6668576889192145
UAL,UAL,Industrials,14,-0.0009586361680234398,0.00672993635611934,-6.847401200167427e-05,0.0010641787539846222,-0.0014055357387040752,0.0021434439776939567,0.0009586361680234398,0.6690011328969084
ABBV,ABBV,Health Care,20,0.0016707838925420645,0.006680324181374089,8.353919462710323e-05,0.0007160029677426711,-0.0008724715293416056,0.0021276428004538012,0.0016707838925420645,0.6711287756973623
GWW,GWW,Industrials,24,0.0025090111449596925,0.006648241243762801,0.00010454213103998719,0.0009247485974413785,-0.0005248921063228273,0.0021174245790961626,0.0025090111449596925,0.6732462002764584
GM,GM,Consumer Discretionary,9,0.0017713135307399143,0.006635711048580169,0.00019681261452665714,0.0013883259401173019,-0.0012033788684138818,0.0021134337878044858,0.0017713135307399143,0.6753596340642629
WRB,WRB,Financials,20,0.00014642949296781035,0.00659692914953022,7.321474648390517e-06,0.0005005674430104769,-0.0009356287044165715,0.0021010819877928014,0.00014642949296781035,0.6774607160520557
CRWD,CRWD,Information Technology,8,-0.0003859856947972119,0.006520379804326913,-4.8248211849651485e-05,0.0013369479358367967,-0.0027455811733658147,0.002076701484874189,0.0003859856947972119,0.6795374175369299
TSN,TSN,Consumer Staples,11,-0.0017324013513713198,0.006468198439812518,-0.00015749103194284727,0.0007190645754649373,-0.0019219463363099134,0.0020600820362497553,0.0017324013513713198,0.6815974995731796
CDNS,CDNS,Information Technology,20,0.0007317559839129023,0.006443268893908404,3.6587799195645115e-05,0.0005643175174869946,-0.0008812068123872761,0.002052142126834976,0.0007317559839129023,0.6836496417000146
FISV,FISV,Financials | Information Technology,17,-0.0013668636685212462,0.006395765744223991,-8.040374520713214e-05,0.0006163053911213164,-0.0010275593988575778,0.0020370126613059344,0.0013668636685212462,0.6856866543613206
