analysis_month_number,ranking_month_end_date,security_key,project_ticker,gics_sector,sector_momentum_quintile,sector_neutral_leg_weight
30,2023-06-30,LLY,LLY,Health Care,5,0.007575757575757576
30,2023-06-30,PODD,PODD,Health Care,5,0.007575757575757576
30,2023-06-30,SYK,SYK,Health Care,5,0.007575757575757576
30,2023-06-30,UHS,UHS,Health Care,5,0.007575757575757576
30,2023-06-30,AME,AME,Industrials,5,0.006060606060606061
30,2023-06-30,AXON,AXON,Industrials,5,0.006060606060606061
30,2023-06-30,BA,BA,Industrials,5,0.006060606060606061
30,2023-06-30,CPRT,CPRT,Industrials,5,0.006060606060606061
30,2023-06-30,ETN,ETN,Industrials,5,0.006060606060606061
30,2023-06-30,GE,GE,Industrials,5,0.006060606060606061
30,2023-06-30,GWW,GWW,Industrials,5,0.006060606060606061
30,2023-06-30,HWM,HWM,Industrials,5,0.006060606060606061
30,2023-06-30,IR,IR,Industrials,5,0.006060606060606061
30,2023-06-30,PH,PH,Industrials,5,0.006060606060606061
30,2023-06-30,PWR,PWR,Industrials,5,0.006060606060606061
30,2023-06-30,ROK,ROK,Industrials,5,0.006060606060606061
30,2023-06-30,TDG,TDG,Industrials,5,0.006060606060606061
30,2023-06-30,UAL,UAL,Industrials,5,0.006060606060606061
30,2023-06-30,URI,URI,Industrials,5,0.006060606060606061
30,2023-06-30,AMAT,AMAT,Information Technology,5,0.006993006993006994
30,2023-06-30,AMD,AMD,Information Technology,5,0.006993006993006994
30,2023-06-30,ANET,ANET,Information Technology,5,0.006993006993006994
30,2023-06-30,AVGO,AVGO,Information Technology,5,0.006993006993006994
30,2023-06-30,CDNS,CDNS,Information Technology,5,0.006993006993006994
30,2023-06-30,FICO,FICO,Information Technology,5,0.006993006993006994
30,2023-06-30,FSLR,FSLR,Information Technology,5,0.006993006993006994
30,2023-06-30,IT,IT,Information Technology,5,0.006993006993006994
30,2023-06-30,LRCX,LRCX,Information Technology,5,0.006993006993006994
30,2023-06-30,NVDA,NVDA,Information Technology,5,0.006993006993006994
30,2023-06-30,ON,ON,Information Technology,5,0.006993006993006994
30,2023-06-30,ORCL,ORCL,Information Technology,5,0.006993006993006994
30,2023-06-30,SNPS,SNPS,Information Technology,5,0.006993006993006994
30,2023-06-30,LIN,LIN,Materials,5,0.018181818181818184
30,2023-06-30,MLM,MLM,Materials,5,0.018181818181818184
30,2023-06-30,NUE,NUE,Materials,5,0.018181818181818184
30,2023-06-30,STLD,STLD,Materials,5,0.018181818181818184
30,2023-06-30,VMC,VMC,Materials,5,0.018181818181818184
